4K&测试,#genre#
天津卫视,http://www.mhq3vvv.work.gd/ssxg.php?id=tjwsH265_4000
西藏卫视,http://www.mhq3vvv.work.gd/ssxg.php?id=xzwsH264_2000
云南卫视,http://www.mhq3vvv.work.gd/ssxg.php?id=ynws_4000
浙江卫视,http://www.mhq3vvv.work.gd/ssxg.php?id=zjwsH265_4000
CETV-1,http://www.mhq3vvv.work.gd/ssxg.php?id=CETV-1H264_4000
CETV-4,http://www.mhq3vvv.work.gd/ssxg.php?id=CETV-4H264_2000
CHC动作电影,http://www.mhq3vvv.work.gd/ssxg.php?id=wqCHCdzdyH265_4000
CHC高清电影,http://www.mhq3vvv.work.gd/ssxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,http://www.mhq3vvv.work.gd/ssxg.php?id=jbtygqCHCjtyyH265_4000
动漫秀场,http://www.mhq3vvv.work.gd/ssxg.php?id=yybb-dmxc-H265_4000
都市剧场,http://www.mhq3vvv.work.gd/ssxg.php?id=yxfydsjcHDH265_4000
法治天地,http://www.mhq3vvv.work.gd/ssxg.php?id=fztx_4000
极速汽车,http://www.mhq3vvv.work.gd/ssxg.php?id=jsqcH265_4000
纪实科教,http://www.mhq3vvv.work.gd/ssxg.php?id=bjjs_2000
嘉佳卡通,http://www.mhq3vvv.work.gd/ssxg.php?id=jjkt_2000
家庭理财,http://www.mhq3vvv.work.gd/ssxg.php?id=jtlc_4000
江苏财富天下,http://www.mhq3vvv.work.gd/ssxg.php?id=cftx_4000
金鹰纪实,http://www.mhq3vvv.work.gd/ssxg.php?id=jyjsHDH265_4000
金鹰卡通,http://www.mhq3vvv.work.gd/ssxg.php?id=jykt_2000
劲爆体育,http://www.mhq3vvv.work.gd/ssxg.php?id=lqhxjcHDH265_4000
卡酷少儿,http://www.mhq3vvv.work.gd/ssxg.php?id=kkkt_4000
快乐垂钓,http://www.mhq3vvv.work.gd/ssxg.php?id=fyzqklcdHDH265_4000
乐游,http://www.mhq3vvv.work.gd/ssxg.php?id=qjs-HDH265_4000
梨园频道,http://www.mhq3vvv.work.gd/ssxg.php?id=ly_4000
魅力足球,http://www.mhq3vvv.work.gd/ssxg.php?id=mlyy_4000
七彩戏剧,http://www.mhq3vvv.work.gd/ssxg.php?id=qcxj_2000
生活时尚,http://www.mhq3vvv.work.gd/ssxg.php?id=shssH265_4000
四海钓鱼,http://www.mhq3vvv.work.gd/ssxg.php?id=shdy_4000
天元围棋,http://www.mhq3vvv.work.gd/ssxg.php?id=tywq_2000
武术世界,http://www.mhq3vvv.work.gd/ssxg.php?id=wssj_4000
先锋乒羽,http://www.mhq3vvv.work.gd/ssxg.php?id=xfpy_4000
新视觉,http://www.mhq3vvv.work.gd/ssxg.php?id=ycxsjH265_4000
证劵服务,http://www.mhq3vvv.work.gd/ssxg.php?id=jz_2000
中国天气,http://www.mhq3vvv.work.gd/ssxg.php?id=zgqx_4000
中央新影-发现之旅,http://www.mhq3vvv.work.gd/ssxg.php?id=fxzl_2000
中央新影-老故事,http://www.mhq3vvv.work.gd/ssxg.php?id=lgs_2000
四川文化旅游,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-2-H265_4000
四川经济,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-3-H265_4000
四川新闻,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-4H265_4000
四川影视文艺,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-5-scysH265_4000
四川妇女儿童,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-7-_4000
四川科教,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-ggSCTV-8_4000
四川乡村,http://www.mhq3vvv.work.gd/ssxg.php?id=SCTV-kjSCTV-9-_4000
四川峨嵋电影,http://www.mhq3vvv.work.gd/ssxg.php?id=emdygqH265_4000
成都新闻综合,http://www.mhq3vvv.work.gd/ssxg.php?id=CDTV-1_4000
成都经济资讯,http://www.mhq3vvv.work.gd/ssxg.php?id=CDTV-2_4000
成都都市生活,http://www.mhq3vvv.work.gd/ssxg.php?id=CDTV-3_4000
成都影视文艺,http://www.mhq3vvv.work.gd/ssxg.php?id=CDTV-4_4000
成都公共频道,http://www.mhq3vvv.work.gd/ssxg.php?id=CDTV-5_4000
CCTV-1 综合,http://86.tvzb.asia/sxg.php?id=CCTV-1H265_4000
CCTV-2 财经,http://86.tvzb.asia/sxg.php?id=CCTV-2H265_4000
CCTV-3 综艺,http://86.tvzb.asia/sxg.php?id=CCTV-3H265_4000
CCTV-4 中文国际,http://86.tvzb.asia/sxg.php?id=CCTV-4H265_4000
CCTV-5 体育,http://86.tvzb.asia/sxg.php?id=CCTV-5H265_4000
CCTV-5+ 体育赛事,http://86.tvzb.asia/sxg.php?id=CCTV-5plusH265_4000
CCTV-6 电影,http://86.tvzb.asia/sxg.php?id=CCTV-6H265_4000
CCTV-7 国防军事,http://86.tvzb.asia/sxg.php?id=CCTV-7H265_4000
CCTV-8 电视剧,http://86.tvzb.asia/sxg.php?id=CCTV-8H265_4000
CCTV-9 纪录,http://86.tvzb.asia/sxg.php?id=CCTV-9H265_4000
CCTV-10 科教,http://86.tvzb.asia/sxg.php?id=CCTV-10H265_4000
CCTV-11 戏曲,http://86.tvzb.asia/sxg.php?id=CCTV-11-H265_4000
CCTV-12 社会与法,http://86.tvzb.asia/sxg.php?id=CCTV-12H265_4000
CCTV-13 新闻,http://86.tvzb.asia/sxg.php?id=CCTV-xw_4000
CCTV-14 少儿,http://86.tvzb.asia/sxg.php?id=CCTV-14H265_4000
CCTV-15 音乐,http://86.tvzb.asia/sxg.php?id=CCTV-15-yyH265_4000
CCTV-16 奥林匹克,http://86.tvzb.asia/sxg.php?id=CCTV-16_4000
CCTV-16 奥林匹克 4K,http://86.tvzb.asia/sxg.php?id=CCTV-16-4K_8000
CCTV-17 农业农村,http://86.tvzb.asia/sxg.php?id=CCTV-17_4000
CCTV-4K 超高清,http://86.tvzb.asia/sxg.php?id=ys4Kcq_2000
4K超高清电影 4K,http://86.tvzb.asia/sxg.php?id=emdy4k_8000
欢笑剧场4K,http://86.tvzb.asia/sxg.php?id=hxjc-4k_8000
凤凰中文,http://86.tvzb.asia/sxg.php?id=test1_4000
凤凰资讯,http://86.tvzb.asia/sxg.php?id=test2_4000
安徽卫视,http://86.tvzb.asia/sxg.php?id=ahwsH265_4000
北京卫视,http://86.tvzb.asia/sxg.php?id=bjwsH265_4000
兵团卫视,http://86.tvzb.asia/sxg.php?id=btws_4000
重庆卫视,http://86.tvzb.asia/sxg.php?id=cqwsH265_4000
东方卫视,http://86.tvzb.asia/sxg.php?id=dfwsH265_4000
东南卫视,http://86.tvzb.asia/sxg.php?id=dnwsfjwsH265_4000
甘肃卫视,http://86.tvzb.asia/sxg.php?id=gsws_4000
广东卫视,http://86.tvzb.asia/sxg.php?id=gdwsH265_4000
广西卫视,http://86.tvzb.asia/sxg.php?id=gxws_4000
贵州卫视,http://86.tvzb.asia/sxg.php?id=gzwsH265_4000
海南卫视,http://86.tvzb.asia/sxg.php?id=hnws_4000
河南卫视,http://86.tvzb.asia/sxg.php?id=hnws35_4000
黑龙江卫视,http://86.tvzb.asia/sxg.php?id=hljwsH265_4000
湖北卫视,http://86.tvzb.asia/sxg.php?id=hbwsH265_4000
湖南卫视,http://86.tvzb.asia/sxg.php?id=hnwsH265_4000
吉林卫视,http://86.tvzb.asia/sxg.php?id=jlwsH265_4000
江苏卫视,http://86.tvzb.asia/sxg.php?id=jswsH265_4000
江西卫视,http://86.tvzb.asia/sxg.php?id=jxwsH265_4000
康巴卫视,http://86.tvzb.asia/sxg.php?id=kbwsH264_2000
辽宁卫视,http://86.tvzb.asia/sxg.php?id=lnwsHDH264_4000
内蒙古卫视,http://86.tvzb.asia/sxg.php?id=nmgws_4000
山东教育卫视,http://86.tvzb.asia/sxg.php?id=sdjy_4000
山东卫视,http://86.tvzb.asia/sxg.php?id=sdwsH265_4000
山西卫视,http://86.tvzb.asia/sxg.php?id=sxws42_4000
陕西卫视,http://86.tvzb.asia/sxg.php?id=sxws_4000
深圳卫视,http://86.tvzb.asia/sxg.php?id=szwsH265_4000
四川卫视,http://86.tvzb.asia/sxg.php?id=scwsH265_4000
天津卫视,http://86.tvzb.asia/sxg.php?id=tjwsH265_4000
西藏卫视,http://86.tvzb.asia/sxg.php?id=xzwsH264_2000
云南卫视,http://86.tvzb.asia/sxg.php?id=ynws_4000
浙江卫视,http://86.tvzb.asia/sxg.php?id=zjwsH265_4000
CETV-1,http://86.tvzb.asia/sxg.php?id=CETV-1H264_4000
CETV-4,http://86.tvzb.asia/sxg.php?id=CETV-4H264_2000
CHC动作电影,http://86.tvzb.asia/sxg.php?id=wqCHCdzdyH265_4000
CHC高清电影,http://86.tvzb.asia/sxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,http://86.tvzb.asia/sxg.php?id=jbtygqCHCjtyyH265_4000
动漫秀场,http://86.tvzb.asia/sxg.php?id=yybb-dmxc-H265_4000
都市剧场,http://86.tvzb.asia/sxg.php?id=yxfydsjcHDH265_4000
法治天地,http://86.tvzb.asia/sxg.php?id=fztx_4000
极速汽车,http://86.tvzb.asia/sxg.php?id=jsqcH265_4000
纪实科教,http://86.tvzb.asia/sxg.php?id=bjjs_2000
嘉佳卡通,http://86.tvzb.asia/sxg.php?id=jjkt_2000
家庭理财,http://86.tvzb.asia/sxg.php?id=jtlc_4000
江苏财富天下,http://86.tvzb.asia/sxg.php?id=cftx_4000
金鹰纪实,http://86.tvzb.asia/sxg.php?id=jyjsHDH265_4000
金鹰卡通,http://86.tvzb.asia/sxg.php?id=jykt_2000
劲爆体育,http://86.tvzb.asia/sxg.php?id=lqhxjcHDH265_4000
卡酷少儿,http://86.tvzb.asia/sxg.php?id=kkkt_4000
快乐垂钓,http://86.tvzb.asia/sxg.php?id=fyzqklcdHDH265_4000
乐游,http://86.tvzb.asia/sxg.php?id=qjs-HDH265_4000
梨园频道,http://86.tvzb.asia/sxg.php?id=ly_4000
魅力足球,http://86.tvzb.asia/sxg.php?id=mlyy_4000
七彩戏剧,http://86.tvzb.asia/sxg.php?id=qcxj_2000
生活时尚,http://86.tvzb.asia/sxg.php?id=shssH265_4000
四海钓鱼,http://86.tvzb.asia/sxg.php?id=shdy_4000
天元围棋,http://86.tvzb.asia/sxg.php?id=tywq_2000
武术世界,http://86.tvzb.asia/sxg.php?id=wssj_4000
先锋乒羽,http://86.tvzb.asia/sxg.php?id=xfpy_4000
新视觉,http://86.tvzb.asia/sxg.php?id=ycxsjH265_4000
证劵服务,http://86.tvzb.asia/sxg.php?id=jz_2000
中国天气,http://86.tvzb.asia/sxg.php?id=zgqx_4000
中央新影-发现之旅,http://86.tvzb.asia/sxg.php?id=fxzl_2000
中央新影-老故事,http://86.tvzb.asia/sxg.php?id=lgs_2000
四川文化旅游,http://86.tvzb.asia/sxg.php?id=SCTV-2-H265_4000
四川经济,http://86.tvzb.asia/sxg.php?id=SCTV-3-H265_4000
四川新闻,http://86.tvzb.asia/sxg.php?id=SCTV-4H265_4000
四川影视文艺,http://86.tvzb.asia/sxg.php?id=SCTV-5-scysH265_4000
四川妇女儿童,http://86.tvzb.asia/sxg.php?id=SCTV-7-_4000
四川科教,http://86.tvzb.asia/sxg.php?id=SCTV-ggSCTV-8_4000
四川乡村,http://86.tvzb.asia/sxg.php?id=SCTV-kjSCTV-9-_4000
四川峨嵋电影,http://86.tvzb.asia/sxg.php?id=emdygqH265_4000
成都新闻综合,http://86.tvzb.asia/sxg.php?id=CDTV-1_4000
成都经济资讯,http://86.tvzb.asia/sxg.php?id=CDTV-2_4000
成都都市生活,http://86.tvzb.asia/sxg.php?id=CDTV-3_4000
成都影视文艺,http://86.tvzb.asia/sxg.php?id=CDTV-4_4000
成都公共频道,http://86.tvzb.asia/sxg.php?id=CDTV-5_4000
北方广电,#genre#
辽宁都市高清,http://www.mhq3vvv.work.gd/bftv.php?id=610
辽宁北方高清,http://www.mhq3vvv.work.gd/bftv.php?id=071
辽宁生活高清,http://www.mhq3vvv.work.gd/bftv.php?id=073
辽宁体育高清,http://www.mhq3vvv.work.gd/bftv.php?id=611
辽宁影视剧高清,http://www.mhq3vvv.work.gd/bftv.php?id=070
辽宁教育青少高清,http://www.mhq3vvv.work.gd/bftv.php?id=075
辽宁经济高清,http://www.mhq3vvv.work.gd/bftv.php?id=076
辽宁公共高清,http://www.mhq3vvv.work.gd/bftv.php?id=077
辽宁公共高清,http://www.mhq3vvv.work.gd/bftv.php?id=481
辽宁经济高清,http://www.mhq3vvv.work.gd/bftv.php?id=480
北方导视高清,http://www.mhq3vvv.work.gd/bftv.php?id=187
辽宁新动漫,http://www.mhq3vvv.work.gd/bftv.php?id=140
沈阳新闻综合高清,http://www.mhq3vvv.work.gd/bftv.php?id=059
抚顺综合,http://www.mhq3vvv.work.gd/bftv.php?id=275
鞍山新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=274
大连新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=273
丹东新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=276
锦州新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=277
阜新综合,http://www.mhq3vvv.work.gd/bftv.php?id=279
辽阳新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=280
营口新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=278
盘锦新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=283
铁岭新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=281
朝阳新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=282
本溪综合,http://www.mhq3vvv.work.gd/bftv.php?id=312
连山区综合,http://www.mhq3vvv.work.gd/bftv.php?id=491
龙港区综合,http://www.mhq3vvv.work.gd/bftv.php?id=490
葫芦岛新闻综合,http://www.mhq3vvv.work.gd/bftv.php?id=284
CCTV-1高清,http://www.mhq3vvv.work.gd/bftv.php?id=488
CCTV-2高清,http://www.mhq3vvv.work.gd/bftv.php?id=061
CCTV-3高清,http://www.mhq3vvv.work.gd/bftv.php?id=062
CCTV-4高清,http://www.mhq3vvv.work.gd/bftv.php?id=063
CCTV-5高清,http://www.mhq3vvv.work.gd/bftv.php?id=064
CCTV-5+高清,http://www.mhq3vvv.work.gd/bftv.php?id=246
CCTV-6高清,http://www.mhq3vvv.work.gd/bftv.php?id=065
CCTV-7高清,http://www.mhq3vvv.work.gd/bftv.php?id=127
CCTV-8高清,http://www.mhq3vvv.work.gd/bftv.php?id=066
CCTV-9高清,http://www.mhq3vvv.work.gd/bftv.php?id=128
CCTV-10高清,http://www.mhq3vvv.work.gd/bftv.php?id=129
CCTV-11高清,http://www.mhq3vvv.work.gd/bftv.php?id=130
CCTV-12高清,http://www.mhq3vvv.work.gd/bftv.php?id=131
CCTV-13高清,http://www.mhq3vvv.work.gd/bftv.php?id=067
CCTV-14高清,http://www.mhq3vvv.work.gd/bftv.php?id=132
CCTV-15高清,http://www.mhq3vvv.work.gd/bftv.php?id=133
CCTV-17高清,http://www.mhq3vvv.work.gd/bftv.php?id=204
江苏卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=085
天津卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=084
湖南卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=086
北京卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=083
黑龙江卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=095
广东卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=092
东方卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=093
浙江卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=094
吉林卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=097
安徽卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=096
江西卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=098
山东卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=099
贵州卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=101
深圳卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=100
湖北卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=102
四川卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=103
陕西卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=512
河南卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=339
海南卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=473
云南卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=482
东南卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=483
金鹰卡通,http://www.mhq3vvv.work.gd/bftv.php?id=105
河南卫视,http://www.mhq3vvv.work.gd/bftv.php?id=104
北京卡酷少儿,http://www.mhq3vvv.work.gd/bftv.php?id=106
重庆卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=107
山西卫视,http://www.mhq3vvv.work.gd/bftv.php?id=109
河北卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=108
青海卫视,http://www.mhq3vvv.work.gd/bftv.php?id=111
内蒙古卫视,http://www.mhq3vvv.work.gd/bftv.php?id=110
山东教育卫视,http://www.mhq3vvv.work.gd/bftv.php?id=112
北京纪实科教高清,http://www.mhq3vvv.work.gd/bftv.php?id=113
广西卫视高清,http://www.mhq3vvv.work.gd/bftv.php?id=116
云南卫视,http://www.mhq3vvv.work.gd/bftv.php?id=115
宁夏卫视,http://www.mhq3vvv.work.gd/bftv.php?id=118
陕西卫视,http://www.mhq3vvv.work.gd/bftv.php?id=114
延边卫视,http://www.mhq3vvv.work.gd/bftv.php?id=117
甘肃卫视,http://www.mhq3vvv.work.gd/bftv.php?id=119
西藏卫视,http://www.mhq3vvv.work.gd/bftv.php?id=121
农林卫视,http://www.mhq3vvv.work.gd/bftv.php?id=122
兵团卫视,http://www.mhq3vvv.work.gd/bftv.php?id=124
CETV-1高清,http://www.mhq3vvv.work.gd/bftv.php?id=135
CETV-2,http://www.mhq3vvv.work.gd/bftv.php?id=492
CGTN,http://www.mhq3vvv.work.gd/bftv.php?id=134
CGTN西班牙语,http://www.mhq3vvv.work.gd/bftv.php?id=306
CGTN阿拉伯语,http://www.mhq3vvv.work.gd/bftv.php?id=308
CGTN法语,http://www.mhq3vvv.work.gd/bftv.php?id=307
CGTN,http://www.mhq3vvv.work.gd/bftv.php?id=305
CGTN俄语,http://www.mhq3vvv.work.gd/bftv.php?id=309
求索动物,http://www.mhq3vvv.work.gd/bftv.php?id=287
求索生活,http://www.mhq3vvv.work.gd/bftv.php?id=288
求索地理,http://www.mhq3vvv.work.gd/bftv.php?id=286
家庭影院,http://www.mhq3vvv.work.gd/bftv.php?id=289
家庭剧场,http://www.mhq3vvv.work.gd/bftv.php?id=290
外国影院,http://www.mhq3vvv.work.gd/bftv.php?id=291
综艺,http://www.mhq3vvv.work.gd/bftv.php?id=292
午夜影院,http://www.mhq3vvv.work.gd/bftv.php?id=294
纪录片,http://www.mhq3vvv.work.gd/bftv.php?id=295
游戏竞技,http://www.mhq3vvv.work.gd/bftv.php?id=296
儿童动漫,http://www.mhq3vvv.work.gd/bftv.php?id=293
3D影院,http://www.mhq3vvv.work.gd/bftv.php?id=298
绘画,http://www.mhq3vvv.work.gd/bftv.php?id=297
家庭理财,http://www.mhq3vvv.work.gd/bftv.php?id=139
网络棋牌,http://www.mhq3vvv.work.gd/bftv.php?id=141
游戏竞技,http://www.mhq3vvv.work.gd/bftv.php?id=142
天元围棋,http://www.mhq3vvv.work.gd/bftv.php?id=144
电子体育,http://www.mhq3vvv.work.gd/bftv.php?id=143
环球旅游,http://www.mhq3vvv.work.gd/bftv.php?id=147
车迷频道,http://www.mhq3vvv.work.gd/bftv.php?id=146
生态环境,http://www.mhq3vvv.work.gd/bftv.php?id=149
发现之旅,http://www.mhq3vvv.work.gd/bftv.php?id=151
优优宝贝,http://www.mhq3vvv.work.gd/bftv.php?id=153
新疆卫视,http://www.mhq3vvv.work.gd/bftv.php?id=150
收藏天下,http://www.mhq3vvv.work.gd/bftv.php?id=155
中华特产,http://www.mhq3vvv.work.gd/bftv.php?id=158
中国天气,http://www.mhq3vvv.work.gd/bftv.php?id=160
法治天地,http://www.mhq3vvv.work.gd/bftv.php?id=162
电视指南,http://www.mhq3vvv.work.gd/bftv.php?id=164
家政,http://www.mhq3vvv.work.gd/bftv.php?id=167
重庆汽摩,http://www.mhq3vvv.work.gd/bftv.php?id=168
国学频道,http://www.mhq3vvv.work.gd/bftv.php?id=169
老故事,http://www.mhq3vvv.work.gd/bftv.php?id=166
女性时尚,http://www.mhq3vvv.work.gd/bftv.php?id=176
世界地理,http://www.mhq3vvv.work.gd/bftv.php?id=177
茶频道,http://www.mhq3vvv.work.gd/bftv.php?id=181
书画,http://www.mhq3vvv.work.gd/bftv.php?id=180
百姓健康,http://www.mhq3vvv.work.gd/bftv.php?id=219
摄影频道,http://www.mhq3vvv.work.gd/bftv.php?id=222
财富天下,http://www.mhq3vvv.work.gd/bftv.php?id=231
四海钓鱼,http://www.mhq3vvv.work.gd/bftv.php?id=229
风尚音乐,http://www.mhq3vvv.work.gd/bftv.php?id=294
咪咕,#genre#
CCTV-1HD,http://www.mhq3vvv.work.gd/ikan.php?id=cctv1
CCTV-1HD2,http://www.mhq3vvv.work.gd/ikan.php?id=cctv1b
CCTV-2,http://www.mhq3vvv.work.gd/ikan.php?id=cctv2
CCTV-3,http://www.mhq3vvv.work.gd/ikan.php?id=cctv3
CCTV-4,http://www.mhq3vvv.work.gd/ikan.php?id=cctv4
CCTV-4欧洲,http://www.mhq3vvv.work.gd/ikan.php?id=cctv4o
CCTV-4美洲,http://www.mhq3vvv.work.gd/ikan.php?id=cctv4a
CCTV-5,http://www.mhq3vvv.work.gd/ikan.php?id=cctv5
CCTV-5HD,http://www.mhq3vvv.work.gd/ikan.php?id=cctv5b
CCTV-5＋,http://www.mhq3vvv.work.gd/ikan.php?id=cctv5p
CCTV-5＋HD,http://www.mhq3vvv.work.gd/ikan.php?id=cctv5p2
CCTV-6,http://www.mhq3vvv.work.gd/ikan.php?id=cctv6
CCTV-7,http://www.mhq3vvv.work.gd/ikan.php?id=cctv7
CCTV-8,http://www.mhq3vvv.work.gd/ikan.php?id=cctv8
CCTV-9,http://www.mhq3vvv.work.gd/ikan.php?id=cctv9
CCTV-10,http://www.mhq3vvv.work.gd/ikan.php?id=cctv10
CCTV-11,http://www.mhq3vvv.work.gd/ikan.php?id=cctv11
CCTV-12,http://www.mhq3vvv.work.gd/ikan.php?id=cctv12
CCTV-13,http://www.mhq3vvv.work.gd/ikan.php?id=cctv13
CCTV-14,http://www.mhq3vvv.work.gd/ikan.php?id=cctv14
CCTV-15,http://www.mhq3vvv.work.gd/ikan.php?id=cctv15
CCTV-17,http://www.mhq3vvv.work.gd/ikan.php?id=cctv17
CGTV-西语,http://www.mhq3vvv.work.gd/ikan.php?id=cgtne
CGTV-阿语,http://www.mhq3vvv.work.gd/ikan.php?id=cgtna
CHC家庭影院,http://www.mhq3vvv.work.gd/ikan.php?id=chcjtyy
北京卫视,http://www.mhq3vvv.work.gd/ikan.php?id=bjws

东方卫视,http://www.mhq3vvv.work.gd/ikan.php?id=dfws
东方卫视HD,http://www.mhq3vvv.work.gd/ikan.php?id=dfws2
重庆卫视,http://www.mhq3vvv.work.gd/ikan.php?id=cqws
吉林卫视,http://www.mhq3vvv.work.gd/ikan.php?id=jlws
辽宁卫视,http://www.mhq3vvv.work.gd/ikan.php?id=lnws
内蒙古卫视,http://www.mhq3vvv.work.gd/ikan.php?id=nmws
宁夏卫视,http://www.mhq3vvv.work.gd/ikan.php?id=nxws
甘肃卫视,http://www.mhq3vvv.work.gd/ikan.php?id=gsws
青海卫视,http://www.mhq3vvv.work.gd/ikan.php?id=qhws
陕西卫视,http://www.mhq3vvv.work.gd/ikan.php?id=sxws
山东卫视,http://www.mhq3vvv.work.gd/ikan.php?id=sdws
湖北卫视,http://www.mhq3vvv.work.gd/ikan.php?id=hubws
湖南卫视,http://www.mhq3vvv.work.gd/ikan.php?id=hunws
江西卫视,http://www.mhq3vvv.work.gd/ikan.php?id=jxws
江苏卫视,http://www.mhq3vvv.work.gd/ikan.php?id=jsws
广东卫视,http://www.mhq3vvv.work.gd/ikan.php?id=gdws
广东卫视HD,http://www.mhq3vvv.work.gd/ikan.php?id=gdws2
大湾区卫视,http://www.mhq3vvv.work.gd/ikan.php?id=dwqws
四川卫视,http://www.mhq3vvv.work.gd/ikan.php?id=scws
新疆卫视,http://www.mhq3vvv.work.gd/ikan.php?id=xjws
西藏卫视,http://www.mhq3vvv.work.gd/ikan.php?id=xzws
海南卫视,http://www.mhq3vvv.work.gd/ikan.php?id=hinws
四海钓鱼,http://www.mhq3vvv.work.gd/ikan.php?id=shdy
江苏教育,http://www.mhq3vvv.work.gd/ikan.php?id=jsjy
山东教育,http://www.mhq3vvv.work.gd/ikan.php?id=sdjy
游戏风云,http://www.mhq3vvv.work.gd/ikan.php?id=yxfy
欢笑剧场,http://www.mhq3vvv.work.gd/ikan.php?id=hxjc
东方购物,http://www.mhq3vvv.work.gd/ikan.php?id=dfgw
之江记录,http://www.mhq3vvv.work.gd/ikan.php?id=zjjl
杭州综合,http://www.mhq3vvv.work.gd/ikan.php?id=hzzh
杭州明珠,http://www.mhq3vvv.work.gd/ikan.php?id=hzmz
杭州生活,http://www.mhq3vvv.work.gd/ikan.php?id=hzsh
杭州影视,http://www.mhq3vvv.work.gd/ikan.php?id=hzys
杭州少儿,http://www.mhq3vvv.work.gd/ikan.php?id=hzse
新片放映厅,http://www.mhq3vvv.work.gd/ikan.php?id=xpfy
体坛明辉路,http://www.mhq3vvv.work.gd/ikan.php?id=ttmhl
热剧联播,http://www.mhq3vvv.work.gd/ikan.php?id=rjlb
军事迷,http://www.mhq3vvv.work.gd/ikan.php?id=jsm
京东电影,http://www.mhq3vvv.work.gd/ikan.php?id=jddy
高清大片,http://www.mhq3vvv.work.gd/ikan.php?id=gqdp
成龙作品,http://www.mhq3vvv.work.gd/ikan.php?id=clzp

成都有线,#genre#
成都新闻频道,http://www.mhq3vvv.work.gd/成都.php?id=xwpd
成都经济频道,http://www.mhq3vvv.work.gd/成都.php?id=jjpd
成都生活频道,http://www.mhq3vvv.work.gd/成都.php?id=shpd
成都影视频道,http://www.mhq3vvv.work.gd/成都.php?id=yspd
成都公共,http://www.mhq3vvv.work.gd/成都.php?id=ggpd
成都少儿,http://www.mhq3vvv.work.gd/成都.php?id=sepd
蓉城先锋,http://www.mhq3vvv.work.gd/成都.php?id=rcxf
无线财*体育资讯台电视伴音,https://tv.mhq10086.repl.co/tvbapp.php?id=A&type=ao
无线新闻台电视伴音,https://tv.mhq10086.repl.co/tvbapp.php?id=A&type=ao
无线财*体育资讯台,https://tv.mhq10086.repl.co/tvbapp.php?id=A&type=hd
无线新闻台,https://tv.mhq10086.repl.co/tvbapp.php?id=A&type=hd


广州本地,#genre#
广州综合,http://www.mhq3vvv.work.gd/广州2.php?id=zhonghe
广州新闻,http://www.mhq3vvv.work.gd/广州2.php?id=xinwen
广州竞赛,http://www.mhq3vvv.work.gd/广州2.php?id=jingsai
广州影视,http://www.mhq3vvv.work.gd/广州2.php?id=yingshi
广州法治,http://www.mhq3vvv.work.gd/广州2.php?id=fazhi
广州南国都市,http://www.mhq3vvv.work.gd/广州2.php?id=shenghuo
华文频道,#genre#
华文一套,http://www.mhq3vvv.work.gd/欧华.php?id=tv1
华文二套,http://www.mhq3vvv.work.gd/欧华.php?id=tv2
华文三套,http://www.mhq3vvv.work.gd/欧华.php?id=tv3
华文四套,http://www.mhq3vvv.work.gd/欧华.php?id=tv4
华文五套,http://www.mhq3vvv.work.gd/欧华.php?id=tv5
